"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 03 09:47:46 GMT 2022","Mon Oct 03 09:47:54 GMT 2022","8235","","Log in form","","","","Resent verification email, using invalid email random symbols",""
"passed","Mon Oct 03 13:02:04 GMT 2022","Mon Oct 03 13:02:20 GMT 2022","16630","","Support Center search","","","","Using valid credentials in search",""
"passed","Mon Oct 03 10:45:36 GMT 2022","Mon Oct 03 10:45:41 GMT 2022","4998","","Log in form","","","","Single sign-on using empty company email",""
"passed","Mon Oct 03 13:02:38 GMT 2022","Mon Oct 03 13:02:42 GMT 2022","4106","","Support Center search","","","","Checking that social icon have correct links",""
"passed","Mon Oct 03 13:00:25 GMT 2022","Mon Oct 03 13:00:37 GMT 2022","11956","","Log in form","","","","Single sign-on using empty company name",""
"passed","Mon Oct 03 10:44:38 GMT 2022","Mon Oct 03 10:44:50 GMT 2022","12321","","Log in form","","","","Using invalid email for authorization",""
"passed","Mon Oct 03 13:02:20 GMT 2022","Mon Oct 03 13:02:27 GMT 2022","6091","","Support Center search","","","","Using invalid credentials in search",""
"passed","Mon Oct 03 10:44:59 GMT 2022","Mon Oct 03 10:45:07 GMT 2022","8007","","Log in form","","","","Reset password using valid email",""
"passed","Mon Oct 03 13:02:27 GMT 2022","Mon Oct 03 13:02:32 GMT 2022","5354","","Support Center search","","","","Сlear search field, using cancel icon",""
"passed","Mon Oct 03 13:02:32 GMT 2022","Mon Oct 03 13:02:38 GMT 2022","5603","","Support Center search","","","","Type request into search input, clicking search icon",""
